"","GENENAME","estimate","se","p","fdr"
"PLS1","PLS1",-1.95575930036725,0.223769580688882,1.33180885661027e-46,1.31120933169827e-45
"PLSCR1","PLSCR1",0.734555229046414,0.152163636540473,4.81833084618948e-22,1.74271018116662e-21
"PLTP","PLTP",-0.255959032985534,0.198791288607555,1.27577901716101e-06,1.96857630817571e-06
"PLVAP","PLVAP",1.13028765246514,0.304293672235089,1.48138492317524e-08,2.60803501561231e-08
"PLXDC1","PLXDC1",1.12699534850918,0.261077277710846,9.57229192865054e-23,3.5773623493478e-22
"PLXDC2","PLXDC2",0.838890782450691,0.0826907976278354,2.87634313300975e-22,1.05247809136843e-21
"PLXNA1","PLXNA1",0.18543143268876,0.210374419637959,0.0423108643987194,0.0460858545880269
"PLXNA2","PLXNA2",0.422809429990439,0.203222310275576,0.00111420538255523,0.00137648019393408
"PLXNA3","PLXNA3",-0.686519428143056,0.0805568497827272,9.63916321805872e-16,2.59581356978627e-15
"PLXNA4","PLXNA4",0.412349139954536,0.149036572313644,0.0115593170552748,0.0131514577431596
"PLXNB1","PLXNB1",-2.63375029617289,0.470975554582206,3.5924098805728e-54,4.64282896943084e-53
"PLXNB2","PLXNB2",0.696529682577257,0.102340958715121,3.16494984133961e-28,1.49493642704228e-27
"PLXNB3","PLXNB3",0.144993102350565,0.14256511863172,0.509310522258725,0.515810699093474
"PLXNC1","PLXNC1",1.08537792632341,0.189584214539637,1.49733381434444e-19,4.82478732867946e-19
"PLXND1","PLXND1",-0.482736797155032,0.149935542896744,5.36390227801879e-10,1.04222214846976e-09
"PM20D2","PM20D2",-0.948265001584233,0.205893220159166,3.51929123140154e-42,2.96672262941732e-41
"PMAIP1","PMAIP1",0.081488741490949,0.187265475286938,0.010491501260824,0.0119823776153894
